Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Sciences de l'éducation;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Sciences de la vie, biologie, santé;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Sciences du langage - Linguistique;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;BUT Service;2;2.0;2
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;CPGE ECG;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;CPGE L;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence AES;484;317.0;71
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Chimie;6;3.0;1
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence MASS;2;1.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Mathématiques;6;3.0;1
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Mathématiques et informatique;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Philosophie, Epistémologie;1723;1288.0;243
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Sciences de gestion;77;21.0;8
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Sciences de l'éducation;916;492.0;199
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;BTS service;1524;698.0;256
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;CPGE S;34;2.0;1
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Ecoles d'Ingénieurs;3;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Ecoles de Commerce;79;54.0;29
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;CUPGE;20;10.0;4
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Formations des écoles nationales vétérinaires;6;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Ensemble des candidats bacheliers;10980;10615.0;9629
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Licence Electronique, Génie électrique, EEA;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Licence Géographie;14;12.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Licence Mathématiques et informatique;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences;2;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Licence Las;6;2.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;BUT Production;3;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;CPGE L;39;35.0;19
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Formations d'ART;2;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;CUPGE;1;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Sciences Po;7;1.0;1
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Formations des écoles nationales vétérinaires;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Chimie;5;2.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Informatique;27;13.0;4
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Langues et littératures françaises;1837;1348.0;270
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Mécanique, Génie mécanique, Ingénierie mécanique;1;1.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Physique;1;1.0;1
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Physique et chimie;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Droit - Sciences éco - AES;2;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences;63;35.0;4
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence STAPS;684;276.0;151
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences de gestion;207;82.0;19
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences de l'information et de la communication;1876;1066.0;396
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences de la vie, biologie, santé;40;15.0;4
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences du langage - Linguistique;613;494.0;107
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences religieuses;8;8.0;1
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;BUT Service;2794;769.0;338
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Formations d'ART;686;226.0;123
Histoire,Géographie, Géopolitique, Sciences politiques,Langues, Littératures et Cultures Etrangères et Régionales;Ensemble des candidats bacheliers;17068;16419.0;14586
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Licence Géographie;553;464.0;126
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Licence Informatique;84;50.0;13
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Licence LEA;311;237.0;39
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Licence Langues et littératures françaises;213;160.0;21
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Licence Philosophie, Epistémologie;249;131.0;20
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Licence Physique;5;2.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Licence Pluri Lettres - Sciences du langage - Arts;53;43.0;7
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Licence Pluri Sciences;29;19.0;2
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;12;4.0;1
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Licence Sciences économiques;675;413.0;51
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;BUT Service;1230;581.0;202
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;CPGE L;1088;867.0;361
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;CPGE S;88;17.0;5
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Ecoles d'Ingénieurs;112;47.0;26
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Formations d'ART;207;93.0;41
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;DEUST;48;15.0;5
Histoire,Géographie, Géopolitique, Sciences politiques,Mathématiques;Formations des écoles nationales vétérinaires;2;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Numérique et Sciences Informatiques;Licence Histoire;114;103.0;36
Histoire,Géographie, Géopolitique, Sciences politiques,Numérique et Sciences Informatiques;Licence Mathématiques;11;3.0;2
Histoire,Géographie, Géopolitique, Sciences politiques,Numérique et Sciences Informatiques;Licence Physique;1;1.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Numérique et Sciences Informatiques;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Numérique et Sciences Informatiques;Licence Sciences de l'univers, de la terre, de l'espace;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Numérique et Sciences Informatiques;Licence Sciences et technologies industrielles;3;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Numérique et Sciences Informatiques;Licence Sciences politiques;27;7.0;2
Histoire,Géographie, Géopolitique, Sciences politiques,Numérique et Sciences Informatiques;CPGE ECG;3;3.0;3
Histoire,Géographie, Géopolitique, Sciences politiques,Numérique et Sciences Informatiques;Ecoles de Commerce;6;4.0;3
Histoire,Géographie, Géopolitique, Sciences politiques,Numérique et Sciences Informatiques;D.E social;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Numérique et Sciences Informatiques;CUPGE;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Numérique et Sciences Informatiques;DCG;3;1.0;1
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;Licence Informatique;6;1.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;Licence LEA;31;26.0;6
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;Licence Mécanique, Génie mécanique, Ingénierie mécanique;2;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;Licence Philosophie, Epistémologie;14;10.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;Licence Pluri Lettres - Langues - Sciences humaines;12;7.0;2
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;5;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;Licence Psychlogie, Sciences cognitives;43;28.0;12
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;Licence Sociologie, Démographie;56;44.0;9
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;BUT Production;86;35.0;20
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;BTS production;44;25.0;10
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;D.E social;6;4.0;4
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;Formations d'ART;26;12.0;6
Histoire,Géographie, Géopolitique, Sciences politiques,Physique-Chimie;Autres formations;71;23.0;14
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences économiques et sociales;Licence Géographie;3536;2819.0;808
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences économiques et sociales;Licence MASS;96;55.0;7
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences économiques et sociales;Licence Philosophie, Epistémologie;1200;649.0;94
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences économiques et sociales;Licence Pluri Sciences humaines et sociales;213;87.0;15
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences économiques et sociales;Licence Psychlogie, Sciences cognitives;6079;3378.0;1149
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences économiques et sociales;Licence STAPS;3609;1640.0;883
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences économiques et sociales;Licence Sciences de gestion;4277;1884.0;500
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences économiques et sociales;Licence Sciences de la vie, biologie, santé;113;48.0;16
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences économiques et sociales;Licence Sciences et technologies industrielles;103;58.0;30
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences économiques et sociales;Ecoles de Commerce;4291;3749.0;2799
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences économiques et sociales;DEUST;489;159.0;57
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;Licence AES;237;172.0;44
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;Licence Histoire;1565;1337.0;499
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;Licence Mathématiques et informatique;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;Licence Mécanique, Génie mécanique, Ingénierie mécanique;4;1.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;Licence Physique et chimie;5;1.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;Licence Sciences de l'information et de la communication;224;130.0;43
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;Licence Sciences de la vie, biologie, santé;822;408.0;121
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;Licence Sciences politiques;464;112.0;39
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;Licence Las;1698;553.0;205
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;BUT Production;513;106.0;39
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;BTS production;219;79.0;28
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;Ecoles d'Ingénieurs;45;18.0;12
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;Formations d'ART;128;38.0;19
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de la vie et de la terre;Ensemble des candidats bacheliers;4916;4605.0;4024
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de l'ingénieur;Licence Langues et littératures françaises;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Sciences de l'ingénieur;Licence MASS;1;0.0;0
